id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
416238146289156096,416238146289156096,2013-12-26 17:04:42 Mitteleuropäische Zeit,2013-12-26,17:04:42,+0200,306620366,jordangerosa,Jordan Angerosa,,10 trends that drove #sustainabletransport in 2013  http://t.co/DMl2kdaM0O,en,[],['http://feedly.com/k/K7F074'],[],0,0,0,['sustainabletransport'],[],https://twitter.com/jordangerosa/status/416238146289156096,False,,0,,,,,,,,[],,,,
415283791465168896,415283791465168896,2013-12-24 01:52:26 Mitteleuropäische Zeit,2013-12-24,01:52:26,+0200,2258309036,voice4works,Voice 4 Works,,good news for future of #SustainableTransport in #UK during last 24 hours! As fuel rises going green will be cheaper  https://t.co/nKUg0TvVP4,en,[],['https://www.gov.uk/government/news/78-million-for-local-sustainable-transport-schemes'],[],0,2,0,"['sustainabletransport', 'uk']",[],https://twitter.com/Voice4Works/status/415283791465168896,False,,0,,,,,,,,[],,,,
415103052706615296,415103052706615296,2013-12-23 13:54:14 Mitteleuropäische Zeit,2013-12-23,13:54:14,+0200,588435246,elnpri,Priyanka Shrestha,,Government injects £78.5m into sustainable transport schemes   http://t.co/nvhJIBjhKr #ELN #energy @transportgovuk #sustainabletransport,en,"[{'screen_name': 'transportgovuk', 'name': 'department for transport', 'id': '46358463'}]",['http://www.energylivenews.com/2013/12/23/government-injects-78-5m-into-sustainable-transport-schemes/#.UrgyM8-LftU.twitter'],[],0,0,0,"['eln', 'energy', 'sustainabletransport']",[],https://twitter.com/ELNPri/status/415103052706615296,False,,0,,,,,,,,[],,,,
414032530925694976,414032530925694976,2013-12-20 15:00:22 Mitteleuropäische Zeit,2013-12-20,15:00:22,+0200,54883806,betterbankside,Better Bankside,,MERRY CHRISTMAS!  http://t.co/oWLrTnSMPm #sustainabletransport #greendeliveries,et,[],['http://ow.ly/i/45jOD'],[],1,3,6,"['sustainabletransport', 'greendeliveries']",[],https://twitter.com/BetterBankside/status/414032530925694976,False,,0,,,,,,,,[],,,,
413600595720044544,413600595720044544,2013-12-19 10:24:01 Mitteleuropäische Zeit,2013-12-19,10:24:01,+0200,138831855,liz545,Liz,,"Couldn't find any wrapping paper with bike lanes on it, so this will have to do #bus #sustainabletransport  http://t.co/pYzY6E3wck",en,[],[],['https://pbs.twimg.com/media/Bb1njOMIcAA8xVx.jpg'],0,0,0,"['bus', 'sustainabletransport']",[],https://twitter.com/liz545/status/413600595720044544,False,,1,https://pbs.twimg.com/media/Bb1njOMIcAA8xVx.jpg,,,,,,,[],,,,
413279522981552128,413279522981552128,2013-12-18 13:08:11 Mitteleuropäische Zeit,2013-12-18,13:08:11,+0200,303932290,jesperjo,Jesper Johansson,,Brand new book on #mobilitymanagement and #sustainabletransport #sustainability #mobility  http://t.co/z7XlQPGDuM,en,[],['http://epomm.eu/index.php?id=2790'],[],0,1,0,"['mobilitymanagement', 'sustainabletransport', 'sustainability', 'mobility']",[],https://twitter.com/Jesperjo/status/413279522981552128,False,,0,,,,,,,,[],,,,
413220981315235840,413220981315235840,2013-12-18 09:15:33 Mitteleuropäische Zeit,2013-12-18,09:15:33,+0200,48378329,globalfuelecon,Global Fuel Economy Initiative - GFEI,,White paper discussed: International Workshop with BMCT | #SustainableTransport in #China  http://t.co/lF3Qt4dvIy via @SLOCATCornie,en,[],['http://sustainabletransport.org/white-paper-discussed-international-workshop-at-bmct/'],[],0,0,0,"['sustainabletransport', 'china']",[],https://twitter.com/GlobalFuelEcon/status/413220981315235840,False,,0,,,,,,,,[],,,,
412882272204095489,412543993428590592,2013-12-17 10:49:39 Mitteleuropäische Zeit,2013-12-17,10:49:39,+0200,461425412,sustainiq_liam,Liam McEvoy,,"“@pumasproject: ""@EU_Commission: #EU triples funding for rail  http://t.co/riCxUXSnWW cc @SiimKallasEU #Shift2Rail #sustainabletransport",en,"[{'screen_name': 'pumasproject', 'name': 'pumas (new mobility)', 'id': '904176978'}, {'screen_name': 'eu_commission', 'name': 'european commission 🇪🇺', 'id': '157981564'}, {'screen_name': 'siimkallaseu', 'name': 'крюков   прохор', 'id': '2982227086'}]",['http://ow.ly/rNyzv'],[],0,0,1,"['eu', 'shift2rail', 'sustainabletransport']",[],https://twitter.com/SustainIQ_Liam/status/412882272204095489,False,,0,,,,,,,,[],,,,
412017863114125312,411934547832750081,2013-12-15 01:34:48 Mitteleuropäische Zeit,2013-12-15,01:34:48,+0200,331196715,cornish_k8,CornishK8,,@PatchandAcre @mrtimbryant #sustainabletransport #carbonneutral,und,"[{'screen_name': 'mrtimbryant', 'name': 'tim bryant', 'id': '31158552'}]",[],[],0,0,0,"['sustainabletransport', 'carbonneutral']",[],https://twitter.com/Cornish_K8/status/412017863114125312,False,,0,,,,,,,,[],,,,
411524554147000320,411511516001615872,2013-12-13 16:54:34 Mitteleuropäische Zeit,2013-12-13,16:54:34,+0200,428422145,jillmskinner,Just Jill #ThatsEnough 💙,,@BikeOttawa Have you seen #GallopingGoose Van I.? Reclaimed railway therefore no climb. #sustainabletransport  http://t.co/YkV3D9P5K6,en,[],[],['https://pbs.twimg.com/media/BbYHZspIMAAsrf4.jpg'],1,0,0,"['gallopinggoose', 'sustainabletransport']",[],https://twitter.com/JillMSkinner/status/411524554147000320,False,,1,https://pbs.twimg.com/media/BbYHZspIMAAsrf4.jpg,,,,,,,[],,,,
